De_CodFolha,De_DescFolha,De_CodEvento,De_DescEvento,De_TipoEvento,DataUltimaUtilizacao,Para_CodFolha,Para_DescFolha,Para_CodEvento,Para_DescEvento,Pred_Para_CodFolha,Pred_Para_DescFolha,Pred_Para_CodEvento,Pred_Para_DescEvento
32,PROVISÃO DE FÉRIAS,11000,SALARIO CONTRATUAL,R,202305,,,,,39.0,ACORDO TRABALHISTA,11000.0,SALARIO CONTRATUAL
33,PROVISÃO DE 13º SALÁRIO,11000,SALARIO CONTRATUAL,R,202305,,,,,39.0,ACORDO TRABALHISTA,11000.0,SALARIO CONTRATUAL
35,PROVISÃO DE PLR,11000,SALARIO CONTRATUAL,R,202206,,,,,39.0,ACORDO TRABALHISTA,11000.0,SALARIO CONTRATUAL
32,PROVISÃO DE FÉRIAS,11005,SALARIO MENSAL,R,202305,,,,,39.0,ACORDO TRABALHISTA,12789.0,SIND FISIOTERAPIA IND
33,PROVISÃO DE 13º SALÁRIO,11005,SALARIO MENSAL,R,202305,,,,,39.0,ACORDO TRABALHISTA,12789.0,SIND FISIOTERAPIA IND
32,PROVISÃO DE FÉRIAS,11009,BUSCA SAL CONTRATUAL MES ANTERIOR,R,202305,,,,,39.0,ACORDO TRABALHISTA,27135.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
33,PROVISÃO DE 13º SALÁRIO,11009,BUSCA SAL CONTRATUAL MES ANTERIOR,R,202305,,,,,39.0,ACORDO TRABALHISTA,27135.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,11010,SALARIO HORA,R,202305,,,,,39.0,ACORDO TRABALHISTA,27135.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
33,PROVISÃO DE 13º SALÁRIO,11010,SALARIO HORA,R,202305,,,,,39.0,ACORDO TRABALHISTA,27135.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,11405,BASE FERIAS PROPORCIONAIS,R,202305,,,,,39.0,ACORDO TRABALHISTA,27387.0,BASE FGTS RESCISAO
502,RET I RESCISAO RETIFICADORA,11405,BASE FERIAS PROPORCIONAIS,R,202304,,,,,39.0,ACORDO TRABALHISTA,27387.0,BASE FGTS RESCISAO
32,PROVISÃO DE FÉRIAS,11406,BASE MEDIA FERIAS PROPORCIONAIS,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
502,RET I RESCISAO RETIFICADORA,11406,BASE MEDIA FERIAS PROPORCIONAIS,R,202304,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,11410,BASE FERIAS VENCIDAS,R,202305,,,,,39.0,ACORDO TRABALHISTA,27387.0,BASE FGTS RESCISAO
502,RET I RESCISAO RETIFICADORA,11410,BASE FERIAS VENCIDAS,R,202304,,,,,39.0,ACORDO TRABALHISTA,27387.0,BASE FGTS RESCISAO
32,PROVISÃO DE FÉRIAS,11411,BASE MEDIA FERIAS VENCIDAS,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
502,RET I RESCISAO RETIFICADORA,11411,BASE MEDIA FERIAS VENCIDAS,R,202304,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
