De_CodFolha,De_DescFolha,De_CodEvento,De_DescEvento,De_TipoEvento,DataUltimaUtilizacao,Para_CodFolha,Para_DescFolha,Para_CodEvento,Para_DescEvento
1,MENSAL,10,SALARIO MENSAL,P,202310,1,MENSAL,5,SALARIO
1,MENSAL,210,DIFERENCA SALARIAL,P,202309,1,MENSAL,6,DIF SALARIO MENSAL
1,MENSAL,350,DIF.SALARIAL REF. CONV.COLETIVA,P,202211,1,MENSAL,6,DIF SALARIO MENSAL
1,MENSAL,1680,DIF.SALARIAL DISSICIO COLETIVO 06/07,P,200708,1,MENSAL,6,DIF SALARIO MENSAL
1,MENSAL,22730,DIF.REMUN.S/ CONV.COLETIVA,P,201711,1,MENSAL,6,DIF SALARIO MENSAL
1,MENSAL,23680,BOLSA ESTAGIO,P,202310,11,MENSAL ESTAGIARIOS,6105,BOLSA AUXILIO ESTAGIARIO - MENSAL
1,MENSAL,600,PRODUTIVIDADE,P,201712,1,MENSAL,20,PRODUTIVIDADE
1,MENSAL,24075,PRÊMIO PRODUTIVIDADE,P,202310,1,MENSAL,20,PRODUTIVIDADE
1,MENSAL,180,ADICIONAL DE PERICULOSIDADE,P,202310,1,MENSAL,25,ADICIONAL PERICULOSIDADE
1,MENSAL,120,INSAL 20% SOBRE PISO STS,P,202310,1,MENSAL,30,ADICIONAL INSALUBRIDADE
1,MENSAL,130,INSALUBRIDADE 20% SOBRE SALARIO BASE,P,202211,1,MENSAL,30,ADICIONAL INSALUBRIDADE
1,MENSAL,140,INSALUBRIDADE 40% SOBRE SALARIO BASE,P,202004,1,MENSAL,30,ADICIONAL INSALUBRIDADE
1,MENSAL,450,INSALUBRIDADE 40% SOBRE PISO SAL,P,201712,1,MENSAL,30,ADICIONAL INSALUBRIDADE
1,MENSAL,23275,INSAL 20% ENF/FAR,P,202310,1,MENSAL,30,ADICIONAL INSALUBRIDADE
1,MENSAL,24005,INSAL 30% SOBRE PISO STS,P,202201,1,MENSAL,30,ADICIONAL INSALUBRIDADE
1,MENSAL,22720,DIFERENCA TAXA DE INSALUBRIDADE,P,201802,1,MENSAL,31,DIF ADICIONAL INSALUBRIDADE
1,MENSAL,610,SALARIO SUBSTITUIÇÃO,P,202308,1,MENSAL,35,SALARIO SUBSTITUICAO
1,MENSAL,330,DIFERENCA DE ANUENIOS,P,201806,1,MENSAL,201,DIF ANUENIO
1,MENSAL,90,TRIENIO,P,202310,1,MENSAL,205,TRIENIO
1,MENSAL,100,QUINQUENIO,P,202310,1,MENSAL,210,QUINQUENIO
1,MENSAL,23300,MEDIA HX SAL MAT,P,202309,1,MENSAL,405,SALARIO MATERNIDADE - LEI N 10.710
1,MENSAL,23330,MEDIA GRAT SAL MAT,P,202310,1,MENSAL,405,SALARIO MATERNIDADE - LEI N 10.710
1,MENSAL,23345,MED AD NOT SAL MAT,P,202310,1,MENSAL,405,SALARIO MATERNIDADE - LEI N 10.710
1,MENSAL,5025,ATESTADO MEDICO,P,202310,1,MENSAL,415,AUXILIO DOENCA
1,MENSAL,30,HORAS EXTRAS 50%,P,201908,1,MENSAL,600,HORAS EXTRAS 50%
1,MENSAL,22680,HORAS EXTRAS 50%,P,202108,1,MENSAL,600,HORAS EXTRAS 50%
1,MENSAL,24110,HORAS EXTRAS 50% - STS,P,202310,1,MENSAL,600,HORAS EXTRAS 50%
1,MENSAL,470,DIFERENÇA DE HORAS EXTRAS,P,201802,1,MENSAL,601,DIF HORAS EXTRAS 50%
1,MENSAL,40,HORAS EXTRAS 100%,P,202305,1,MENSAL,650,HORAS EXTRAS 100%
1,MENSAL,24130,HORAS EXTRAS 100% - STS,P,202306,1,MENSAL,650,HORAS EXTRAS 100%
1,MENSAL,24145,HORAS EXTRAS NOTURNAS - STS,P,202310,1,MENSAL,755,HORAS EXTRAS NOTURNAS - STS
1,MENSAL,410,SUPRESSAO DE HORAS EXTRAS,P,200902,1,MENSAL,800,SUPRESSAO DE HORAS EXTRAS
1,MENSAL,540,HORAS EXTRAS NOTURNAS,P,202107,1,MENSAL,860,HORAS EXTRAS NOTURNAS
1,MENSAL,240,REPOUSO REMUNERADO (FERIADO),P,202310,1,MENSAL,885,DSR HORAS EXTRAS
1,MENSAL,22830,DSR HORAS EXTRAS,P,202310,1,MENSAL,885,DSR HORAS EXTRAS
1,MENSAL,24150,PGTO BANCO DE HORAS,P,202306,1,MENSAL,900,BANCO DE HORAS 50%
1,MENSAL,390,REMUNERACAO SOBREAVISO,P,202310,1,MENSAL,910,HORAS SOBREAVISO
1,MENSAL,23030,HORAS DE SOBREAVISO,P,202302,1,MENSAL,910,HORAS SOBREAVISO
1,MENSAL,1640,DIFERÊNÇA REMUNERAÇÃO SOBREAVISO,P,201812,1,MENSAL,911,DIF HORAS SOBREAVISO
